,,,,,,
input,output,topic,subtopic,tags,difficulty,format
What is the difference between direct and indirect excitons?,"In direct excitons, the electron and hole reside in the same layer or material. In indirect (or spatially indirect) excitons, they are separated across a heterostructure, resulting in longer lifetimes.",Physics,Semiconductors,"direct exciton,indirect exciton,difference",Advanced,Conceptual
Define photoconductive gain.,Photoconductive gain is the ratio of carrier lifetime to transit time in photoconductors. It indicates how many charge carriers can be collected per absorbed photon.,Physics,Photodetectors,"photoconductive gain,definition,photoconductor",Intermediate,Definition
Explain why heterostructures enhance LED efficiency.,"Heterostructures confine carriers and photons within the active region, reducing recombination outside and enabling better control of emission wavelength and improved quantum efficiency.",Physics,Optoelectronics,"heterostructure,LED,efficiency",Intermediate,Conceptual
What is the Q-factor of an optical cavity?,The Q-factor quantifies how underdamped a cavity is. It is defined as 2π times the ratio of stored energy to energy lost per cycle. Higher Q indicates lower losses and narrower linewidths.,Physics,Optoelectronics,"Q-factor,optical cavity,definition",Intermediate,Definition
Define the Purcell effect.,"The Purcell effect is the enhancement (or suppression) of spontaneous emission of a quantum emitter caused by its environment, such as placing it in a resonant cavity.",Physics,Optoelectronics,"Purcell effect,spontaneous emission,definition",Advanced,Definition
Explain the term 'responsivity nonlinearity' in photodetectors.,"Responsivity nonlinearity refers to deviations from a linear relationship between output signal and incident power, often due to series resistance, space-charge effects or saturation.",Physics,Photodetectors,"responsivity,nonlinearity,photodetector",Advanced,Conceptual
Why do phototransistors exhibit higher gain than photodiodes?,"Phototransistors provide current gain through transistor action: a single photogenerated carrier can modulate a larger collector current. However, they are slower and have higher noise than photodiodes.",Physics,Photodetectors,"phototransistor,photodiode,gain",Intermediate,Conceptual
Define mode hopping in lasers.,"Mode hopping occurs when the lasing wavelength abruptly changes due to fluctuations in cavity length, temperature or injection current, causing the laser to switch between longitudinal modes.",Physics,Optoelectronics,"mode hopping,laser,definition",Intermediate,Definition
What is group velocity dispersion?,Group velocity dispersion (GVD) describes the variation of group velocity with wavelength in a medium. It causes pulse broadening in optical fibers and affects ultrashort pulse propagation.,Physics,Optics,"group velocity dispersion,optics,definition",Advanced,Conceptual
Explain the concept of photon recycling in solar cells.,Photon recycling refers to reabsorption and re-emission of photons within a solar cell. It can enhance efficiency by giving photons multiple chances to generate charge carriers.,Physics,Optoelectronics,"photon recycling,solar cells,concept",Intermediate,Conceptual
What is thermal conductivity and how is it related to phonons?,"Thermal conductivity is the ability of a material to conduct heat. In insulators and semiconductors, heat is carried mainly by phonons; their scattering and mean free path determine thermal conductivity.",Physics,Condensed Matter,"thermal conductivity,phonons,heat",Intermediate,Conceptual
Why does doping concentration affect the absorption edge of semiconductors?,"Heavy doping can cause band tailing and bandgap narrowing, altering the absorption edge and shifting the optical absorption toward longer wavelengths.",Physics,Semiconductors,"doping,absorption edge,bandgap narrowing",Advanced,Conceptual
Describe the concept of surface plasmon polaritons.,Surface plasmon polaritons are electromagnetic waves coupled to charge oscillations at the interface between a metal and a dielectric. They enable subwavelength confinement and enhanced field intensities.,Physics,Optics,"surface plasmon polariton,definition,interface",Advanced,Conceptual
What is the Pauli exclusion principle and how does it affect electron occupation in solids?,The Pauli exclusion principle states that no two identical fermions can occupy the same quantum state. It leads to the filling of electronic bands up to the Fermi energy and underlies the electronic properties of solids.,Physics,Condensed Matter,"Pauli exclusion principle,electrons,solids",Beginner,Definition
Define the mobility of charge carriers in semiconductors.,"Mobility μ quantifies how quickly carriers drift in response to an electric field: v_d = μ·E. It depends on scattering mechanisms such as phonons, impurities and interface roughness.",Physics,Semiconductors,"mobility,definition,electric field",Beginner,Definition
Explain bandgap narrowing in heavily doped semiconductors.,"At high doping levels, impurity bands and many-body interactions broaden the band edges and effectively reduce the bandgap. This leads to band tail states and affects carrier concentrations.",Physics,Semiconductors,"bandgap narrowing,doping,semiconductor",Advanced,Conceptual
What is photoluminescence and how is it used to characterize materials?,"Photoluminescence is the emission of light following optical excitation. It provides information on bandgap energies, defect states and recombination dynamics in semiconductors.",Physics,Materials,"photoluminescence,characterization,definition",Intermediate,Definition
Define the concept of energy bandgap and its importance.,The energy bandgap E_g is the energy difference between the conduction band minimum and valence band maximum in a semiconductor. It determines optical absorption and electrical properties.,Physics,Semiconductors,"bandgap,definition,importance",Beginner,Definition
What is the Drude model and what does it describe?,"The Drude model treats conduction electrons in a metal as a gas of free charges experiencing collisions. It explains electrical conductivity, plasma frequency and optical properties of metals.",Physics,Condensed Matter,"Drude model,electrons,conductivity",Intermediate,Definition
Explain the concept of Bragg’s law in X-ray diffraction.,Bragg’s law n·λ = 2·d·sinθ relates the wavelength λ of X-rays to the diffraction angle θ and lattice spacing d in crystals. It is used to determine crystal structures.,Physics,Crystallography,"Bragg’s law,X-ray diffraction,definition",Beginner,Definition
What are polaritons and where do they occur?,Polaritons are quasiparticles resulting from strong coupling between photons and excitations such as excitons or phonons. They occur in microcavities and materials with strong light-matter interaction.,Physics,Condensed Matter,"polaritons,light-matter coupling,definition",Advanced,Definition
Describe the role of spin–orbit coupling in semiconductors.,"Spin–orbit coupling arises from interaction between a particle’s spin and its motion in an electric field. In semiconductors, it leads to band splitting, spin relaxation and phenomena such as the spin Hall effect.",Physics,Semiconductors,"spin–orbit coupling,semiconductor,definition",Advanced,Conceptual
Explain the Hall effect and its use in material characterization.,"The Hall effect is the development of a transverse voltage when a current-carrying conductor is placed in a magnetic field. Measuring the Hall voltage yields carrier type, concentration and mobility.",Physics,Condensed Matter,"Hall effect,material characterization,definition",Intermediate,Definition
What is the principle of operation of a photonic crystal?,"Photonic crystals have periodic variations in refractive index that create photonic bandgaps, preventing propagation of certain wavelengths. They control the flow of light much like semiconductors control electrons.",Physics,Optics,"photonic crystal,bandgap,optics",Advanced,Definition
Define the quantum Hall effect.,The quantum Hall effect arises in two-dimensional electron systems at low temperatures and strong magnetic fields. The Hall conductance becomes quantized in integer or fractional multiples of e²/h.,Physics,Condensed Matter,"quantum Hall effect,definition,2D electron gas",Advanced,Definition
What is doping compensation in semiconductors?,"Doping compensation occurs when donor and acceptor concentrations partially cancel each other, reducing net carrier concentration. It is used to control resistivity and Fermi level position.",Physics,Semiconductors,"doping compensation,definition,semiconductor",Intermediate,Definition
Explain tunneling in a quantum mechanical context.,Quantum tunneling refers to the ability of a particle to penetrate a potential barrier higher than its energy due to the probabilistic nature of quantum mechanics. It underlies phenomena such as tunnel diodes and scanning tunneling microscopy.,Physics,Quantum Mechanics,"quantum tunneling,definition,barrier",Intermediate,Definition
Describe the Anderson localization phenomenon.,Anderson localization is the absence of diffusion of waves in a disordered medium due to interference of multiple scattering paths. It leads to localization of electronic states and transition from a conductor to an insulator.,Physics,Condensed Matter,"Anderson localization,disorder,localization",Advanced,Definition
What is the Mott transition?,"The Mott transition is a metal–insulator transition driven by electron-electron interactions, where increasing interaction strength localizes electrons and opens a gap despite band theory predicting metallic behavior.",Physics,Condensed Matter,"Mott transition,metal-insulator transition,definition",Advanced,Definition
Explain the role of exciton–polariton condensation.,"Exciton–polariton condensation occurs when polaritons in a microcavity accumulate in the lowest energy state, forming a coherent quantum state analogous to a Bose–Einstein condensate.",Physics,Condensed Matter,"exciton–polariton condensation,definition,condensed matter",Advanced,Conceptual
Define the Dirac cone in graphene.,"In graphene, the conduction and valence bands meet at discrete points (K points) forming linear energy–momentum dispersion known as Dirac cones. Electrons behave as massless Dirac fermions near these points.",Physics,Condensed Matter,"Dirac cone,graphene,definition",Advanced,Definition
What is photocarrier lifetime and why is it important?,Photocarrier lifetime is the average time a photogenerated carrier exists before recombination. Longer lifetimes enable greater collection efficiency and higher sensitivity in photodetectors and solar cells.,Physics,Photodetectors,"photocarrier lifetime,definition,photodetector",Intermediate,Definition
State the Debye model expression for the heat capacity at low temperature.,"At low temperatures, the heat capacity C_v ≈ 12·π⁴·N·k_B·(T/Θ_D)³, where Θ_D is the Debye temperature and N the number of atoms.",Physics,Condensed Matter,"Debye model,heat capacity,equation",Advanced,Equation
Write the expression for the phonon dispersion relation in a one-dimensional monatomic chain.,"For a lattice constant a and atomic mass m, the dispersion relation is ω(k) = 2·√(K/m)|sin(ka/2)|, where K is the spring constant and k the wavevector.",Physics,Condensed Matter,"phonon dispersion,equation,1D chain",Advanced,Equation
State Snell’s law of refraction.,"Snell’s law: n₁·sinθ₁ = n₂·sinθ₂, relating the angles and refractive indices when light passes between two media.",Physics,Optics,"Snell's law,refraction,equation",Beginner,Equation
Give the Fresnel equations for reflection coefficients of s-polarized light.,"For s-polarized light at an interface, the reflection coefficient r_s = (n₁·cosθ_i − n₂·cosθ_t)/(n₁·cosθ_i + n₂·cosθ_t).",Physics,Optics,"Fresnel equations,reflection,polarization",Advanced,Equation
Provide the expression for the effective mass of electrons in a semiconductor band.,Effective mass m* is defined via the curvature of the E(k) relation: 1/m* = (1/ħ²)·∂²E/∂k². It reflects how carriers respond to external forces.,Physics,Semiconductors,"effective mass,equation,semiconductor",Advanced,Equation
State the Einstein relation between diffusion coefficient and mobility.,The Einstein relation D/μ = k_B·T/q links the diffusion coefficient D and mobility μ of charge carriers.,Physics,Semiconductors,"Einstein relation,diffusion,mobility",Intermediate,Equation
Write the Landauer formula for conductance.,"Landauer formula: G = (2e²/h)·T(E_F), where T(E_F) is the transmission probability at the Fermi energy. It describes quantum conductance in mesoscopic systems.",Physics,Condensed Matter,"Landauer formula,conductance,equation",Advanced,Equation
Define the Rabi frequency in a two-level system.,The Rabi frequency Ω = μ·E_0/ħ describes the rate of coherent oscillations between two quantum states driven by an external field with dipole moment μ and amplitude E_0.,Physics,Quantum Optics,"Rabi frequency,equation,two-level system",Advanced,Definition
State Kirchhoff’s voltage law.,Kirchhoff’s voltage law (KVL): the algebraic sum of potential differences around any closed loop in a circuit is zero.,Engineering,Circuit Analysis,"Kirchhoff's voltage law,equation,circuit",Beginner,Equation
Write the Poisson distribution formula.,The probability of observing k events in an interval with mean λ is P(k; λ) = λ^k·e^{-λ}/k!.,Mathematics,Probability,"Poisson distribution,equation,statistics",Beginner,Equation
Define the Poynting vector.,"The Poynting vector S = E × H represents the power flux density of an electromagnetic wave, giving power per unit area.",Physics,Electromagnetism,"Poynting vector,definition,power flux",Intermediate,Definition
What is a Lorentz oscillator model?,"The Lorentz oscillator model treats bound electrons in a material as damped harmonic oscillators driven by electromagnetic fields, explaining dispersion and absorption.",Physics,Optics,"Lorentz oscillator,model,optics",Intermediate,Definition
State the relation for Brewster’s angle.,Brewster’s angle θ_B satisfies tanθ_B = n₂/n₁ for which reflection of p-polarized light vanishes at the interface between media with refractive indices n₁ and n₂.,Physics,Optics,"Brewster's angle,equation,polarization",Intermediate,Equation
Define radiometric responsivity.,"Radiometric responsivity is the ratio of electrical output to input radiant power. For detectors, it is often expressed in V/W or A/W.",Physics,Radiometry,"radiometric responsivity,definition,detectors",Beginner,Definition
Write the Clausius–Mossotti relation for dielectric constant.,"The Clausius–Mossotti relation connects the relative permittivity ε_r to polarizability α: (ε_r − 1)/(ε_r + 2) = (4π/3)·N·α, where N is number density.",Physics,Dielectrics,"Clausius–Mossotti,equation,dielectric",Advanced,Equation
Define the figure of merit for thermoelectric materials.,"The thermoelectric figure of merit ZT = S²·σ·T/κ, where S is Seebeck coefficient, σ electrical conductivity and κ thermal conductivity. High ZT indicates good thermoelectric performance.",Physics,Materials,"figure of merit,thermoelectrics,equation",Advanced,Definition
State Ohm’s law in vector form.,"Ohm’s law: J = σ·E, where J is current density, σ the conductivity and E the electric field.",Physics,Electromagnetism,"Ohm's law,vector,equation",Beginner,Equation
Give the expression for the electric susceptibility in the Drude model.,"In the Drude model, the frequency-dependent susceptibility χ(ω) = -ω_p²/(ω² + iγω), where ω_p is plasma frequency and γ damping rate.",Physics,Condensed Matter,"Drude model,susceptibility,equation",Advanced,Equation
Define the Seebeck effect.,The Seebeck effect is the generation of an electric voltage across a material subjected to a temperature gradient. It forms the basis for thermocouples.,Physics,Thermoelectrics,"Seebeck effect,definition,thermocouple",Beginner,Definition
Write the expression for the Seebeck coefficient.,"Seebeck coefficient S = −(1/qT)·(∂μ/∂T), relating voltage generated to temperature gradient. It depends on carrier transport and energy dependence of conductivity.",Physics,Thermoelectrics,"Seebeck coefficient,equation,thermoelectric",Advanced,Equation
Define radiative recombination rate.,Radiative recombination rate is the rate at which electrons and holes recombine to emit photons. It is proportional to the product of carrier densities and a radiative recombination coefficient.,Physics,Semiconductors,"radiative recombination,definition,rate",Beginner,Definition
Provide the expression for Lorentz–Lorenz equation.,"Lorentz–Lorenz equation: (n² − 1)/(n² + 2) = (4π/3)·N·α, relating refractive index n to molecular polarizability α.",Physics,Optics,"Lorentz–Lorenz equation,refractive index,relation",Advanced,Equation
Define thermal diffusivity.,"Thermal diffusivity α = κ/(ρ·c_p) describes how quickly heat spreads in a material, where κ is thermal conductivity, ρ density and c_p specific heat capacity.",Physics,Heat Transfer,"thermal diffusivity,definition,heat",Beginner,Definition
State the Wiedemann–Franz law.,"The Wiedemann–Franz law states that the ratio of thermal to electrical conductivity in metals is proportional to temperature: κ/σ = L·T, where L is the Lorenz number.",Physics,Condensed Matter,"Wiedemann–Franz law,thermal conductivity,electrical conductivity",Intermediate,Equation
What is a heterojunction?,A heterojunction is an interface between two different semiconductor materials. It allows bandgap engineering and creates built-in fields used in optoelectronic devices.,Physics,Semiconductors,"heterojunction,definition,interface",Beginner,Definition
Define the density matrix in quantum mechanics.,The density matrix ρ describes the statistical state of a quantum system. It allows calculation of expectation values and accounts for mixed states.,Physics,Quantum Mechanics,"density matrix,definition,quantum",Advanced,Definition
State Maxwell’s curl equations.,"Maxwell’s curl equations: ∇×E = −∂B/∂t and ∇×H = J + ∂D/∂t, relating time-varying electric and magnetic fields to currents and charge densities.",Physics,Electromagnetism,"Maxwell equations,curl,definition",Intermediate,Equation
Write the continuity equation for charge carriers.,"The continuity equation: ∂n/∂t + ∇·J = G − R, where n is carrier concentration, J current density, G generation rate and R recombination rate.",Physics,Semiconductors,"continuity equation,charge carriers,equation",Intermediate,Equation
State the expression for the quantum efficiency of a photodiode.,Quantum efficiency η = (number of collected carriers per unit time) / (number of incident photons per unit time) = I/(q·Φ).,Physics,Photodetectors,"quantum efficiency,equation,photodiode",Beginner,Equation
Provide the Tauc relation for amorphous semiconductors.,"The Tauc relation (α·hν)^{1/2} = B(hν − E_g) expresses the absorption coefficient α as a function of photon energy for amorphous semiconductors, where B is a constant.",Physics,Semiconductors,"Tauc relation,equation,amorphous",Advanced,Equation
Define the Heisenberg uncertainty principle.,"The Heisenberg uncertainty principle states that the product of uncertainties in position and momentum obeys Δx·Δp ≥ ħ/2, limiting simultaneous knowledge of conjugate variables.",Physics,Quantum Mechanics,"uncertainty principle,definition,quantum",Beginner,Definition
Write Python code to simulate the time evolution of a damped harmonic oscillator.,"import numpy as np

def damped_oscillator(m, k, c, t):
    # Returns displacement x(t) for mass m, spring constant k, damping c over time array t
    omega0 = np.sqrt(k/m)
    gamma = c/(2*m)
    omega_d = np.sqrt(omega0**2 - gamma**2)
    return np.exp(-gamma*t) * np.cos(omega_d * t)",Physics,Dynamics,"damped oscillator,python,simulation",Intermediate,Code
Provide Python code to compute the reflectance of a thin film using the transfer matrix method.,"import numpy as np

def thin_film_reflectance(n_layers, thicknesses, wavelength):
    # n_layers: list of refractive indices [n0, n1, n2], thicknesses of film layers (only middle)
    k0 = 2 * np.pi / wavelength
    delta = 2 * np.pi * n_layers[1] * thicknesses[0] / wavelength
    r01 = (n_layers[0] - n_layers[1])/(n_layers[0] + n_layers[1])
    r12 = (n_layers[1] - n_layers[2])/(n_layers[1] + n_layers[2])
    numerator = r01 + r12 * np.exp(2j * delta)
    denominator = 1 + r01 * r12 * np.exp(2j * delta)
    return abs(numerator/denominator)**2",Physics,Optics,"thin film,transfer matrix,python",Advanced,Code
Write Python code to calculate the density of states in a 3D parabolic band.,"import numpy as np

def density_of_states_3d(E, m_eff, V):
    # E: energy grid (J), m_eff: effective mass (kg), V: volume (m³)
    hbar = 1.054e-34
    prefactor = (2*m_eff)**1.5 / (2 * np.pi**2 * hbar**3)
    return prefactor * np.sqrt(E) * V",Physics,Semiconductors,"density of states,python,3D",Advanced,Code
Provide Python code to solve the time-independent Schrödinger equation for a finite square well.,"import numpy as np
from scipy.linalg import eigh

def finite_square_well(n_points, V0, L):
    hbar = 1.054e-34
    m_e = 9.109e-31
    x = np.linspace(-L/2, L/2, n_points)
    dx = x[1] - x[0]
    T = np.diag(np.full(n_points, -2)) + np.diag(np.ones(n_points-1), 1) + np.diag(np.ones(n_points-1), -1)
    T *= -hbar**2/(2*m_e*dx**2)
    V = np.diag(np.where(abs(x) < L/2, -V0, 0))
    H = T + V
    energies, states = eigh(H)
    return energies, states",Physics,Quantum Mechanics,"square well,Schrödinger equation,python",Advanced,Code
Write Python code to perform a Fast Fourier Transform (FFT) on a time-domain signal.,"import numpy as np

def compute_fft(signal, sampling_rate):
    # signal: time-domain signal array
    N = len(signal)
    freqs = np.fft.fftfreq(N, d=1/sampling_rate)
    spectrum = np.fft.fft(signal)
    return freqs, spectrum",Mathematics,Signal Processing,"FFT,python,spectrum",Beginner,Code
Provide Python code to calculate phonon dispersion in a diatomic chain.,"import numpy as np

def diatomic_phonon_dispersion(k_vals, m1, m2, K):
    # k_vals: array of wavevectors, m1, m2: masses, K: spring constant
    omega1 = K/m1 + K/m2
    omega2 = np.sqrt(omega1**2 - 4*(K/m1)*(K/m2)*np.sin(k_vals/2)**2)
    return omega2",Physics,Condensed Matter,"diatomic chain,phonon dispersion,python",Advanced,Code
Write Python code to simulate carrier drift in an electric field.,"import numpy as np

def drift_simulation(E_field, mobility, time, dt):
    # E_field: electric field (V/m), mobility: m²/(V·s), time array, dt time step
    v_d = mobility * E_field
    positions = v_d * time
    return positions",Physics,Semiconductors,"carrier drift,python,simulation",Intermediate,Code
Provide Python code to model heat diffusion in 1D using an explicit finite difference method.,"import numpy as np

def heat_diffusion_1d(u0, alpha, dx, dt, steps):
    # u0: initial temperature array, alpha thermal diffusivity
    u = u0.copy()
    r = alpha * dt / dx**2
    for _ in range(steps):
        u[1:-1] = u[1:-1] + r * (u[2:] - 2*u[1:-1] + u[:-2])
    return u",Physics,Heat Transfer,"heat diffusion,python,finite difference",Intermediate,Code
Write Python code to calculate the Fresnel reflection coefficient for p-polarized light.,"import numpy as np

def fresnel_p(n1, n2, theta_i):
    theta_t = np.arcsin(n1*np.sin(theta_i)/n2)
    r_p = (n2*np.cos(theta_i) - n1*np.cos(theta_t))/(n2*np.cos(theta_i) + n1*np.cos(theta_t))
    return r_p",Physics,Optics,"Fresnel coefficient,python,p-polarized",Intermediate,Code
Provide Python code to simulate Poisson–Boltzmann equation in one dimension.,"import numpy as np

def poisson_boltzmann_1d(phi0, rho, epsilon, dx, tol):
    # phi0: initial potential, rho: charge density, epsilon: permittivity, dx: spacing
    phi = phi0.copy()
    for _ in range(10000):
        phi_new = phi.copy()
        phi_new[1:-1] = 0.5 * (phi[:-2] + phi[2:] - dx**2 * rho[1:-1]/epsilon)
        if np.linalg.norm(phi_new - phi) < tol:
            break
        phi = phi_new
    return phi",Physics,Electrostatics,"Poisson–Boltzmann,python,finite difference",Advanced,Code
Estimate the ionization fraction for a dopant with activation energy 0.056 eV at 205.1 K.,"Ionization fraction f = 1/(1 + 0.5·exp(E_a/(k_B·T))). Substituting E_a = 0.056 eV, T = 205.1 K gives f ≈ 0.078.",Physics,Semiconductors,"dopant ionization,activation energy,calculation",Advanced,QA
Estimate the ionization fraction for a dopant with activation energy 0.059 eV at 343.5 K.,"Ionization fraction f = 1/(1 + 0.5·exp(E_a/(k_B·T))). Substituting E_a = 0.059 eV, T = 343.5 K gives f ≈ 0.214.",Physics,Semiconductors,"dopant ionization,activation energy,calculation",Advanced,QA
Estimate the ionization fraction for a dopant with activation energy 0.068 eV at 246.2 K.,"Ionization fraction f = 1/(1 + 0.5·exp(E_a/(k_B·T))). Substituting E_a = 0.068 eV, T = 246.2 K gives f ≈ 0.075.",Physics,Semiconductors,"dopant ionization,activation energy,calculation",Advanced,QA
Estimate the ionization fraction for a dopant with activation energy 0.045 eV at 307.4 K.,"Ionization fraction f = 1/(1 + 0.5·exp(E_a/(k_B·T))). Substituting E_a = 0.045 eV, T = 307.4 K gives f ≈ 0.268.",Physics,Semiconductors,"dopant ionization,activation energy,calculation",Advanced,QA
Estimate the ionization fraction for a dopant with activation energy 0.047 eV at 297.2 K.,"Ionization fraction f = 1/(1 + 0.5·exp(E_a/(k_B·T))). Substituting E_a = 0.047 eV, T = 297.2 K gives f ≈ 0.242.",Physics,Semiconductors,"dopant ionization,activation energy,calculation",Advanced,QA
Estimate the ionization fraction for a dopant with activation energy 0.007 eV at 216.7 K.,"Ionization fraction f = 1/(1 + 0.5·exp(E_a/(k_B·T))). Substituting E_a = 0.007 eV, T = 216.7 K gives f ≈ 0.579.",Physics,Semiconductors,"dopant ionization,activation energy,calculation",Advanced,QA
Estimate the ionization fraction for a dopant with activation energy 0.009 eV at 322.8 K.,"Ionization fraction f = 1/(1 + 0.5·exp(E_a/(k_B·T))). Substituting E_a = 0.009 eV, T = 322.8 K gives f ≈ 0.591.",Physics,Semiconductors,"dopant ionization,activation energy,calculation",Advanced,QA
Estimate the ionization fraction for a dopant with activation energy 0.029 eV at 289.2 K.,"Ionization fraction f = 1/(1 + 0.5·exp(E_a/(k_B·T))). Substituting E_a = 0.029 eV, T = 289.2 K gives f ≈ 0.384.",Physics,Semiconductors,"dopant ionization,activation energy,calculation",Advanced,QA
Estimate the ionization fraction for a dopant with activation energy 0.022 eV at 226.0 K.,"Ionization fraction f = 1/(1 + 0.5·exp(E_a/(k_B·T))). Substituting E_a = 0.022 eV, T = 226.0 K gives f ≈ 0.393.",Physics,Semiconductors,"dopant ionization,activation energy,calculation",Advanced,QA
Estimate the ionization fraction for a dopant with activation energy 0.006 eV at 228.1 K.,"Ionization fraction f = 1/(1 + 0.5·exp(E_a/(k_B·T))). Substituting E_a = 0.006 eV, T = 228.1 K gives f ≈ 0.596.",Physics,Semiconductors,"dopant ionization,activation energy,calculation",Advanced,QA
Estimate the ionization fraction for a dopant with activation energy 0.067 eV at 201.4 K.,"Ionization fraction f = 1/(1 + 0.5·exp(E_a/(k_B·T))). Substituting E_a = 0.067 eV, T = 201.4 K gives f ≈ 0.040.",Physics,Semiconductors,"dopant ionization,activation energy,calculation",Advanced,QA
Estimate the ionization fraction for a dopant with activation energy 0.026 eV at 334.4 K.,"Ionization fraction f = 1/(1 + 0.5·exp(E_a/(k_B·T))). Substituting E_a = 0.026 eV, T = 334.4 K gives f ≈ 0.448.",Physics,Semiconductors,"dopant ionization,activation energy,calculation",Advanced,QA
Estimate the ionization fraction for a dopant with activation energy 0.007 eV at 172.4 K.,"Ionization fraction f = 1/(1 + 0.5·exp(E_a/(k_B·T))). Substituting E_a = 0.007 eV, T = 172.4 K gives f ≈ 0.555.",Physics,Semiconductors,"dopant ionization,activation energy,calculation",Advanced,QA
Estimate the ionization fraction for a dopant with activation energy 0.046 eV at 326.0 K.,"Ionization fraction f = 1/(1 + 0.5·exp(E_a/(k_B·T))). Substituting E_a = 0.046 eV, T = 326.0 K gives f ≈ 0.280.",Physics,Semiconductors,"dopant ionization,activation energy,calculation",Advanced,QA
Estimate the ionization fraction for a dopant with activation energy 0.006 eV at 301.8 K.,"Ionization fraction f = 1/(1 + 0.5·exp(E_a/(k_B·T))). Substituting E_a = 0.006 eV, T = 301.8 K gives f ≈ 0.614.",Physics,Semiconductors,"dopant ionization,activation energy,calculation",Advanced,QA
Estimate the ionization fraction for a dopant with activation energy 0.058 eV at 174.4 K.,"Ionization fraction f = 1/(1 + 0.5·exp(E_a/(k_B·T))). Substituting E_a = 0.058 eV, T = 174.4 K gives f ≈ 0.040.",Physics,Semiconductors,"dopant ionization,activation energy,calculation",Advanced,QA
Estimate the ionization fraction for a dopant with activation energy 0.048 eV at 256.8 K.,"Ionization fraction f = 1/(1 + 0.5·exp(E_a/(k_B·T))). Substituting E_a = 0.048 eV, T = 256.8 K gives f ≈ 0.186.",Physics,Semiconductors,"dopant ionization,activation energy,calculation",Advanced,QA
Estimate the ionization fraction for a dopant with activation energy 0.036 eV at 341.6 K.,"Ionization fraction f = 1/(1 + 0.5·exp(E_a/(k_B·T))). Substituting E_a = 0.036 eV, T = 341.6 K gives f ≈ 0.371.",Physics,Semiconductors,"dopant ionization,activation energy,calculation",Advanced,QA
Estimate the ionization fraction for a dopant with activation energy 0.005 eV at 206.9 K.,"Ionization fraction f = 1/(1 + 0.5·exp(E_a/(k_B·T))). Substituting E_a = 0.005 eV, T = 206.9 K gives f ≈ 0.602.",Physics,Semiconductors,"dopant ionization,activation energy,calculation",Advanced,QA
Estimate the ionization fraction for a dopant with activation energy 0.051 eV at 221.7 K.,"Ionization fraction f = 1/(1 + 0.5·exp(E_a/(k_B·T))). Substituting E_a = 0.051 eV, T = 221.7 K gives f ≈ 0.122.",Physics,Semiconductors,"dopant ionization,activation energy,calculation",Advanced,QA
Estimate the ionization fraction for a dopant with activation energy 0.023 eV at 292.1 K.,"Ionization fraction f = 1/(1 + 0.5·exp(E_a/(k_B·T))). Substituting E_a = 0.023 eV, T = 292.1 K gives f ≈ 0.445.",Physics,Semiconductors,"dopant ionization,activation energy,calculation",Advanced,QA
Estimate the ionization fraction for a dopant with activation energy 0.065 eV at 206.5 K.,"Ionization fraction f = 1/(1 + 0.5·exp(E_a/(k_B·T))). Substituting E_a = 0.065 eV, T = 206.5 K gives f ≈ 0.049.",Physics,Semiconductors,"dopant ionization,activation energy,calculation",Advanced,QA
Estimate the ionization fraction for a dopant with activation energy 0.035 eV at 208.1 K.,"Ionization fraction f = 1/(1 + 0.5·exp(E_a/(k_B·T))). Substituting E_a = 0.035 eV, T = 208.1 K gives f ≈ 0.221.",Physics,Semiconductors,"dopant ionization,activation energy,calculation",Advanced,QA
Estimate the ionization fraction for a dopant with activation energy 0.03 eV at 274.9 K.,"Ionization fraction f = 1/(1 + 0.5·exp(E_a/(k_B·T))). Substituting E_a = 0.03 eV, T = 274.9 K gives f ≈ 0.360.",Physics,Semiconductors,"dopant ionization,activation energy,calculation",Advanced,QA
Estimate the ionization fraction for a dopant with activation energy 0.055 eV at 172.9 K.,"Ionization fraction f = 1/(1 + 0.5·exp(E_a/(k_B·T))). Substituting E_a = 0.055 eV, T = 172.9 K gives f ≈ 0.048.",Physics,Semiconductors,"dopant ionization,activation energy,calculation",Advanced,QA
Estimate the ionization fraction for a dopant with activation energy 0.05 eV at 264.2 K.,"Ionization fraction f = 1/(1 + 0.5·exp(E_a/(k_B·T))). Substituting E_a = 0.05 eV, T = 264.2 K gives f ≈ 0.182.",Physics,Semiconductors,"dopant ionization,activation energy,calculation",Advanced,QA
Estimate the ionization fraction for a dopant with activation energy 0.014 eV at 178.8 K.,"Ionization fraction f = 1/(1 + 0.5·exp(E_a/(k_B·T))). Substituting E_a = 0.014 eV, T = 178.8 K gives f ≈ 0.446.",Physics,Semiconductors,"dopant ionization,activation energy,calculation",Advanced,QA
Estimate the ionization fraction for a dopant with activation energy 0.021 eV at 188.8 K.,"Ionization fraction f = 1/(1 + 0.5·exp(E_a/(k_B·T))). Substituting E_a = 0.021 eV, T = 188.8 K gives f ≈ 0.355.",Physics,Semiconductors,"dopant ionization,activation energy,calculation",Advanced,QA
Estimate the ionization fraction for a dopant with activation energy 0.065 eV at 289.2 K.,"Ionization fraction f = 1/(1 + 0.5·exp(E_a/(k_B·T))). Substituting E_a = 0.065 eV, T = 289.2 K gives f ≈ 0.128.",Physics,Semiconductors,"dopant ionization,activation energy,calculation",Advanced,QA
